Time (s),Cleaned Ankle 1,Cleaned Ankle 2,Original Ankle 1,Original Ankle 2,Hip Position
0.0,150.59093063391637,58.02586846608386,153.2642,62.02552,-0.07854405
0.033,185.79612805874157,57.80594673006986,178.9682,52.27841,-1.449255
0.067,194.12321217995373,67.97746502377615,190.7473,59.45146,-2.302921
0.1,182.17103234545493,85.71264665780879,182.5743,83.7897,-3.030626
0.133,156.5384379031473,108.18371494277382,156.2525,110.9818,-4.152839
0.167,123.82427820093272,132.56289318927773,118.6182,130.8291,-5.532789
0.2,94.41424634731959,157.00675031002373,80.47554,147.1128,-6.360381
0.234,72.09726437762257,176.30094517016363,53.87166,166.1111,-5.727952
0.267,62.04999935664351,186.31835068531518,46.34809,183.9987,-3.884834
0.3,65.90754867132884,184.74430254079303,57.04746,191.1307,-2.586176
0.334,82.26556181585103,171.0181590419585,78.76667,181.3173,-3.477248
0.367,107.30395965734294,146.85751725641063,103.8543,152.7943,-6.337131
0.4,135.8167144382288,117.30427168764598,128.4276,110.0602,-9.30817
0.434,162.3149049906764,90.00139764801887,151.6011,67.68425,-10.78616
0.467,181.5472519580424,71.96874979020998,171.5044,42.58751,-10.77611
0.5,189.1748951305366,66.95307953613069,183.4374,41.8463,-10.53379
0.534,182.98925245687693,75.44282364568784,181.9311,60.85425,-11.34694
0.567,163.67498142191187,95.3067103496506,162.8133,88.59136,-13.4793
0.601,134.87879226107262,121.98051806526837,126.4137,114.1155,-15.97178
0.634,102.93745419580446,149.70278303030344,82.22916,133.4548,-17.58773
0.667,75.56254333333352,173.06501286713333,45.6349,150.6594,-17.63908
0.701,59.241374405594556,187.50146286713337,27.9169,168.7253,-16.04551
0.734,57.154440233100374,189.77266205128257,32.11197,182.3203,-13.54482
0.767,68.22212888111906,177.77539004662054,54.46551,181.6241,-11.62241
0.801,92.1842988578091,153.63445167832208,85.32245,159.5761,-11.56899
0.834,122.66138249417283,124.32223743589776,113.1533,117.8856,-13.53382
0.868,152.23314976690017,97.6659360606063,133.4099,69.96098,-16.38771
0.901,173.86629060606106,80.23698023310044,150.2356,33.76779,-18.90695
0.968,182.19059463869513,75.79774146853165,174.2303,32.58478,-21.13937
1.001,175.1604948251753,85.06643130536153,166.9753,61.66883,-23.76731
1.034,154.7575468764573,105.85730314685341,141.3159,93.24168,-26.62436
1.068,126.00413158508192,133.47261090909126,101.243,116.1918,-28.75547
1.101,95.5402045454548,161.65871722610765,57.85978,131.6695,-29.23686
1.134,70.60445855477873,183.2599878088583,26.44051,146.7954,-27.8177
1.168,59.61775689976705,193.61753296037347,17.69462,163.3984,-25.49337
1.201,63.34351286713303,190.96308048951101,31.52954,175.1364,-23.85627
1.235,80.35014717948738,174.8008151981357,58.92974,170.9732,-23.48209
1.268,106.12073230769258,147.22697673659715,88.82603,142.0986,-23.69663
1.301,134.41444086247122,113.33552445221474,114.9002,92.88403,-23.61823
1.335,159.17034524475565,80.908252797203,136.634,43.31035,-22.70543
