Time (s),Cleaned Ankle 1,Cleaned Ankle 2
0.0,150.59,58.03
0.03,185.8,57.81
0.07,194.12,67.98
0.1,182.17,85.71
0.13,156.54,108.18
0.17,123.82,132.56
0.2,94.41,157.01
0.23,72.1,176.3
0.27,62.05,186.32
0.3,65.91,184.74
0.33,82.27,171.02
0.37,107.3,146.86
0.4,135.82,117.3
0.43,162.31,90.0
0.47,181.55,71.97
0.5,189.17,66.95
0.53,182.99,75.44
0.57,163.67,95.31
0.6,134.88,121.98
0.63,102.94,149.7
0.67,75.56,173.07
0.7,59.24,187.5
0.73,57.15,189.77
0.77,68.22,177.78
0.8,92.18,153.63
0.83,122.66,124.32
0.87,152.23,97.67
0.9,173.87,80.24
0.97,182.19,75.8
1.0,175.16,85.07
1.03,154.76,105.86
1.07,126.0,133.47
1.1,95.54,161.66
1.13,70.6,183.26
1.17,59.62,193.62
1.2,63.34,190.96
1.24,80.35,174.8
1.27,106.12,147.23
1.3,134.41,113.34
1.33,159.17,80.91
1.37,175.41,58.1
1.4,179.53,50.31
1.44,170.05,58.41
1.47,148.08,78.94
1.5,117.32,105.89
1.53,83.88,132.94
1.57,55.26,154.98
1.6,37.99,168.2
1.64,35.41,170.38
1.67,46.89,161.16
1.7,68.36,141.54
1.74,94.1,113.74
1.77,118.96,82.47
1.8,139.36,55.1
1.83,152.75,38.76
1.87,157.32,36.96
1.9,152.21,48.6
1.94,137.89,69.32
1.97,116.2,93.74
2.0,90.64,117.13
2.04,66.42,136.12
2.07,49.08,148.64
2.1,42.49,153.71
2.13,47.58,151.15
2.17,62.33,141.31
2.2,82.72,125.37
2.24,104.31,106.1
2.27,123.76,87.67
2.3,138.86,73.99
2.34,147.86,67.29
2.37,149.49,67.98
2.4,143.48,75.05
2.44,130.75,86.48
2.47,113.41,100.08
2.5,92.46,112.11
2.54,73.42,123.94
2.57,59.49,134.92
2.6,53.9,144.41
2.64,59.87,151.76
