Time (s),Cleaned Ankle 1,Cleaned Ankle 2
0.0,121.76,46.92
0.03,150.23,46.74
0.07,156.96,54.97
0.1,147.3,69.3
0.13,126.57,87.47
0.17,100.12,107.18
0.2,76.34,126.95
0.23,58.3,142.55
0.27,50.17,150.65
0.3,53.29,149.37
0.33,66.52,138.28
0.37,86.76,118.74
0.4,109.82,94.84
0.43,131.24,72.77
0.47,146.79,58.19
0.5,152.95,54.13
0.53,147.96,61.0
0.57,132.34,77.06
0.6,109.06,98.63
0.63,83.23,121.04
0.67,61.09,139.94
0.7,47.9,151.6
0.73,46.21,153.44
0.77,55.16,143.75
0.8,74.53,124.22
0.83,99.18,100.52
0.87,123.09,78.97
0.9,140.58,64.88
0.97,147.31,61.29
1.0,141.63,68.78
1.03,125.13,85.59
1.07,101.88,107.92
1.1,77.25,130.71
1.13,57.08,148.18
1.17,48.21,156.55
1.2,51.21,154.4
1.24,64.97,141.34
1.27,85.8,119.04
1.3,108.68,91.64
1.33,128.7,65.42
1.37,141.83,46.98
1.4,145.16,40.68
1.44,137.5,47.23
1.47,119.73,63.83
1.5,94.86,85.62
1.53,67.82,107.49
1.57,44.68,125.31
1.6,30.72,136.0
1.64,28.63,137.76
1.67,37.91,130.31
1.7,55.27,114.44
1.74,76.09,91.97
1.77,96.19,66.68
1.8,112.68,44.55
1.83,123.51,31.34
1.87,127.2,29.88
1.9,123.07,39.3
1.94,111.49,56.05
1.97,93.95,75.79
2.0,73.29,94.71
2.04,53.7,110.06
2.07,39.68,120.18
2.1,34.36,124.28
2.13,38.47,122.21
2.17,50.4,114.26
2.2,66.88,101.37
2.24,84.34,85.79
2.27,100.07,70.89
2.3,112.28,59.83
2.34,119.55,54.41
2.37,120.87,54.97
2.4,116.01,60.68
2.44,105.72,69.92
2.47,91.7,80.92
2.5,74.76,90.65
2.54,59.36,100.21
2.57,48.1,109.09
2.6,43.58,116.76
2.64,48.41,122.71
