Time (s),Cleaned Ankle 1,Cleaned Ankle 2,Original Ankle 1,Original Ankle 2,Hip Position
0.0,139.48378888671314,-88.48970473566436,129.0362,-83.87521,-0.1125496
0.033,53.66279868391598,-56.64470000139867,65.98225,-53.38279,1.646262
0.067,-11.756105936130638,-17.01124245827515,3.526646,-21.58191,3.848635
0.1,-58.21735962843832,24.914448481118768,-51.34944,19.37847,6.223661
0.133,-87.16539704801878,63.63615340419568,-89.25665,70.26344,7.843855
0.167,-100.04465284988373,93.65765289836857,-103.5178,115.1315,8.066035
0.2,-99.29714325641052,100.97059689743618,-94.11036,133.3563,7.21381
0.234,-82.27086598834521,85.8997260536133,-70.06966,115.6532,6.315273
0.267,-50.94615542657357,50.14273361771576,-41.5322,67.84224,6.427415
0.3,-10.028126069930096,2.096633930069938,-9.53403,5.41101,7.992388
0.334,32.739316902098,-45.40382629137542,30.62414,-52.81424,10.48641
0.367,68.28856652913771,-81.06425173193495,77.73734,-90.58252,12.73829
0.4,88.68918673892799,-99.12265507692337,117.7871,-99.71323,13.91043
0.434,88.69708321212147,-98.24910278787905,130.4758,-83.19878,14.33792
0.467,66.92343423776242,-79.00286422144545,106.019,-53.74238,15.2283
0.5,27.343255990676063,-44.04532700233112,52.57062,-23.50387,17.44797
0.534,-20.48802349650356,0.3506933589743584,-10.697,8.239439,20.65305
0.567,-64.29781340792559,44.80278595804208,-63.26491,51.30491,23.47867
0.601,-93.97937698601424,79.60683753146876,-90.94138,104.0517,24.60159
0.634,-104.67163296503526,97.43762325407951,-90.15551,144.4211,23.84491
0.667,-95.87577234731961,93.93182662237788,-68.32439,148.2679,22.29804
0.701,-69.60637956177175,67.95784411655029,-38.77868,110.698,21.54039
0.734,-30.371491251748335,23.759337482517545,-9.022243,47.9798,22.86063
0.767,19.556664680652737,-30.702776410256497,26.45188,-16.24735,26.56867
0.801,58.95154284615401,-76.52163627039648,74.89906,-64.30743,31.64307
0.834,79.52028291608413,-103.85989449883479,127.474,-85.97181,36.61368
0.868,77.81843995571117,-106.86287585081614,160.7693,-78.3182,40.9573
0.901,54.552119792540935,-84.96035962703986,156.0505,-50.38355,45.2193
0.968,14.43610537995342,-43.393159766899885,52.13769,15.63125,49.9752
1.001,-33.60704777855487,7.916490932400956,-6.644863,57.75588,55.03439
1.034,-77.74004972494194,56.60213326340343,-47.09269,112.2381,59.40458
1.068,-106.30516752214481,90.83788910676017,-61.25096,163.0851,62.02239
1.101,-111.09524692773924,102.1993453223779,-49.02556,187.4286,62.77655
1.134,-89.13544519114242,86.63764086899792,-20.51932,174.4041,62.59267
1.168,-55.764557090909236,51.47153919650364,11.75742,128.4079,62.58257
1.201,-13.399907529137561,2.130469908624715,45.01407,63.72452,63.32998
1.235,29.749488041958127,-47.62616044452228,83.51466,-0.5182163,64.51206
1.268,64.37878282051301,-85.39424309836853,126.168,-45.90954,65.09486
1.301,82.83985307692332,-105.17114933496532,161.0424,-60.32487,64.41129
1.335,80.83516536130558,-106.10590957389307,170.4051,-44.52432,62.86912
1.368,57.97880545454562,-89.25797756806551,143.2144,-14.24346,61.28632
1.401,18.91177759906765,-57.39224126620063,85.74883,12.45821,60.0669
1.435,-26.812023449883526,-16.368941748251792,19.20118,33.97414,59.11889
1.468,-67.96579246620065,25.33491417249424,-34.07585,64.46937,57.90455
1.502,-95.75394754778581,59.46172899766916,-61.12734,109.032,55.69872
1.535,-106.10642477389305,80.33493724941746,-60.48862,149.2747,52.25408
1.568,-99.49411111421938,84.3524081585084,-42.64066,160.3239,47.9969
1.602,-78.99753815384636,69.0036551048953,-23.08076,133.4292,43.61749
1.635,-48.47628433100246,35.119927389277485,-7.348442,79.9069,39.79039
1.668,-12.315249972028006,-9.733491585081614,12.2944,19.12078,36.9344
1.702,24.203942778554843,-52.95440076923092,44.21053,-33.94624,34.78654
1.735,55.47713212121228,-83.72063919813543,85.24293,-69.57329,32.48396
1.768,76.10418203962723,-97.59333881352009,119.9378,-80.89878,29.3953
1.802,80.95535459207483,-95.33223908158534,130.1008,-69.0967,25.64861
1.835,66.77046694405612,-79.29938933566456,107.5271,-46.80321,21.76693
1.869,35.10598495338005,-51.873570580419724,59.54754,-26.98852,18.21131
1.902,-6.491625279720299,-16.733269997669044,2.347157,-8.766899,15.28833
1.935,-47.02924630769243,20.227178648018707,-48.73906,18.11391,12.98083
1.969,-76.85449206293728,52.32126421212136,-82.59981,56.44129,10.91703
2.002,-91.15638184149209,73.84135105361325,-93.20094,93.85973,8.888851
2.035,-89.71930064102588,80.46376549417272,-82.45617,111.1067,7.275236
2.069,-74.29028990676011,69.59525203263422,-59.95286,97.54935,6.779705
2.102,-47.27853808391621,42.216836918415034,-35.12038,58.21489,7.845734
