Time (s),Cleaned Ankle 1,Cleaned Ankle 2
0.0,139.48,-88.49
0.03,53.66,-56.64
0.07,-11.76,-17.01
0.1,-58.22,24.91
0.13,-87.17,63.64
0.17,-100.04,93.66
0.2,-99.3,100.97
0.23,-82.27,85.9
0.27,-50.95,50.14
0.3,-10.03,2.1
0.33,32.74,-45.4
0.37,68.29,-81.06
0.4,88.69,-99.12
0.43,88.7,-98.25
0.47,66.92,-79.0
0.5,27.34,-44.05
0.53,-20.49,0.35
0.57,-64.3,44.8
0.6,-93.98,79.61
0.63,-104.67,97.44
0.67,-95.88,93.93
0.7,-69.61,67.96
0.73,-30.37,23.76
0.77,19.56,-30.7
0.8,58.95,-76.52
0.83,79.52,-103.86
0.87,77.82,-106.86
0.9,54.55,-84.96
0.97,14.44,-43.39
1.0,-33.61,7.92
1.03,-77.74,56.6
1.07,-106.31,90.84
1.1,-111.1,102.2
1.13,-89.14,86.64
1.17,-55.76,51.47
1.2,-13.4,2.13
1.24,29.75,-47.63
1.27,64.38,-85.39
1.3,82.84,-105.17
1.33,80.84,-106.11
1.37,57.98,-89.26
1.4,18.91,-57.39
1.44,-26.81,-16.37
1.47,-67.97,25.33
1.5,-95.75,59.46
1.53,-106.11,80.33
1.57,-99.49,84.35
1.6,-79.0,69.0
1.64,-48.48,35.12
1.67,-12.32,-9.73
1.7,24.2,-52.95
1.74,55.48,-83.72
1.77,76.1,-97.59
1.8,80.96,-95.33
1.83,66.77,-79.3
1.87,35.11,-51.87
1.9,-6.49,-16.73
1.94,-47.03,20.23
1.97,-76.85,52.32
2.0,-91.16,73.84
2.04,-89.72,80.46
2.07,-74.29,69.6
2.1,-47.28,42.22
2.13,-12.56,4.55
2.17,24.07,-33.26
2.2,56.01,-61.38
2.24,77.37,-74.03
2.27,83.86,-69.88
2.3,73.35,-50.56
2.34,47.06,-19.89
2.37,10.97,16.63
2.4,-25.02,53.0
2.44,-51.17,83.45
2.47,-62.61,102.69
2.5,-59.53,111.61
2.54,-49.66,105.79
2.57,-35.33,82.07
2.6,-18.89,37.28
2.64,-2.66,-31.76
