"Time (ms)","Ankle 1","Ankle 2","2008 hip"
"0","129.0362","-83.87521","-0.1125496"
"33","65.98225","-53.38279","1.646262"
"67","3.526646","-21.58191","3.848635"
"100","-51.34944","19.37847","6.223661"
"133","-89.25665","70.26344","7.843855"
"167","-103.5178","115.1315","8.066035"
"200","-94.11036","133.3563","7.21381"
"234","-70.06966","115.6532","6.315273"
"267","-41.5322","67.84224","6.427415"
"300","-9.53403","5.41101","7.992388"
"334","30.62414","-52.81424","10.48641"
"367","77.73734","-90.58252","12.73829"
"400","117.7871","-99.71323","13.91043"
"434","130.4758","-83.19878","14.33792"
"467","106.019","-53.74238","15.2283"
"500","52.57062","-23.50387","17.44797"
"534","-10.697","8.239439","20.65305"
"567","-63.26491","51.30491","23.47867"
"601","-90.94138","104.0517","24.60159"
"634","-90.15551","144.4211","23.84491"
"667","-68.32439","148.2679","22.29804"
"701","-38.77868","110.698","21.54039"
"734","-9.022243","47.9798","22.86063"
"767","26.45188","-16.24735","26.56867"
"801","74.89906","-64.30743","31.64307"
"834","127.474","-85.97181","36.61368"
"868","160.7693","-78.3182","40.9573"
"901","156.0505","-50.38355","45.2193"
"934","113.7922","-17.46452",
"968","52.13769","15.63125","49.9752"
"1001","-6.644863","57.75588","55.03439"
"1034","-47.09269","112.2381","59.40458"
"1068","-61.25096","163.0851","62.02239"
"1101","-49.02556","187.4286","62.77655"
"1134","-20.51932","174.4041","62.59267"
"1168","11.75742","128.4079","62.58257"
"1201","45.01407","63.72452","63.32998"
"1235","83.51466","-0.5182163","64.51206"
"1268","126.168","-45.90954","65.09486"
"1301","161.0424","-60.32487","64.41129"
"1335","170.4051","-44.52432","62.86912"
"1368","143.2144","-14.24346","61.28632"
"1401","85.74883","12.45821","60.0669"
"1435","19.20118","33.97414","59.11889"
"1468","-34.07585","64.46937","57.90455"
"1502","-61.12734","109.032","55.69872"
"1535","-60.48862","149.2747","52.25408"
"1568","-42.64066","160.3239","47.9969"
"1602","-23.08076","133.4292","43.61749"
"1635","-7.348442","79.9069","39.79039"
"1668","12.2944","19.12078","36.9344"
"1702","44.21053","-33.94624","34.78654"
"1735","85.24293","-69.57329","32.48396"
"1768","119.9378","-80.89878","29.3953"
"1802","130.1008","-69.0967","25.64861"
"1835","107.5271","-46.80321","21.76693"
"1869","59.54754","-26.98852","18.21131"
"1902","2.347157","-8.766899","15.28833"
"1935","-48.73906","18.11391","12.98083"
"1969","-82.59981","56.44129","10.91703"
"2002","-93.20094","93.85973","8.888851"
"2035","-82.45617","111.1067","7.275236"
"2069","-59.95286","97.54935","6.779705"
"2102","-35.12038","58.21489","7.845734"
"2135","-8.742986","8.496948","10.4074"
"2169","25.61646","-34.56208","14.04951"
"2202","69.47445","-59.14877","18.18782"
"2236","110.8193","-61.37206","22.33708"
"2269","131.8941","-44.17894","26.55358"
"2302","123.8365","-14.95112","31.53469"
"2336","92.04706","19.26722","38.09946"
"2369","51.27858","57.57534","46.45961"
"2402","16.9027","102.7004","55.9299"
"2436","-1.567914","150.2337","65.41118"
"2469","-0.9327161","187.1943","74.18636"
"2502","17.3605","203.2374","82.29631"
"2536","46.42735","196.6183","90.3008"
"2569","74.84718","170.4872","98.51251"
"2603","93.17686","131.6019","106.387"
"2636","101.5632","91.82605","113.0364"
"2669",,"62.22095","118.1194"
"2703",,"43.20577","121.8402"
"2736",,,"124.547"
"2769",,,"126.6307"
"2803",,,"128.5073"
"2836",,,"130.4315"
