Time (ms),Ankle 1,Ankle 2
0.0,40.23,138.34
33.0,32.68,153.88
67.0,40.25,159.99
100.0,64.36,152.31
133.0,93.28,130.99
167.0,115.12,99.63
200.0,128.56,66.77
234.0,139.79,43.05
267.0,151.46,34.89
300.0,159.23,43.04
334.0,157.19,63.56
367.0,142.14,88.01
400.0,114.22,108.05
434.0,79.31,122.35
467.0,49.13,135.3
500.0,34.69,148.3
534.0,40.55,156.53
567.0,63.28,153.94
601.0,92.0,137.58
634.0,114.84,108.85
667.0,128.43,74.87
701.0,138.17,46.93
734.0,148.5,34.32
767.0,156.51,39.84
801.0,155.71,59.91
834.0,141.6,85.96
868.0,113.73,108.32
901.0,77.85,123.19
934.0,45.71,134.1
968.0,28.96,144.56
1001.0,33.11,152.27
1034.0,55.69,151.76
1068.0,86.69,138.99
1101.0,113.26,113.49
1134.0,129.26,80.48
1168.0,138.66,50.27
1201.0,147.12,32.48
1235.0,153.89,31.75
1268.0,154.09,47.63
1301.0,143.74,74.15
1335.0,121.01,100.9
1368.0,88.31,120.22
1401.0,54.79,132.98
1435.0,32.55,144.33
1468.0,29.28,154.81
1502.0,45.3,159.21
1535.0,74.04,152.08
1568.0,103.92,130.91
1602.0,124.99,98.24
1635.0,136.28,63.2
1668.0,143.36,36.92
1702.0,149.01,26.35
1735.0,153.6,36.34
1768.0,162.09,71.9
1802.0,177.87,128.34
