"Time (ms)","Ankle 1","Ankle 2"
"0","-86.02026","92.69931"
"33","-54.21399","46.05724"
"67","-34.42757","-6.067683"
"100","-17.17451","-57.55066"
"133","15.46602","-95.18959"
"167","60.18177","-108.7172"
"200","93.15863","-97.04523"
"234","96.3091","-69.83572"
"267","68.98523","-40.69053"
"300","20.51155","-16.55837"
"334","-36.55424","6.39427"
"367","-86.73405","35.88441"
"400","-114.0321","70.20565"
"434","-110.9217","94.25799"
"467","-84.94203","92.23265"
"500","-53.97036","60.84848"
"534","-31.87126","10.10169"
"567","-13.81716","-43.4685"
"601","17.00172","-84.4604"
"634","61.49162","-103.1395"
"667","96.77055","-97.19905"
"701","100.3139","-73.86501"
"734","70.03454","-46.20578"
"767","19.8604","-22.5239"
"801","-34.37941","-0.6802472"
"834","-80.57849","27.27312"
"868","-107.9124","62.58846"
"901","-107.8786","91.35538"
"934","-83.45735","94.68587"
"968","-52.82663","66.22029"
"1001","-32.87255","16.57157"
"1034","-19.71566","-36.01475"
"1068","4.226496","-77.69444"
"1101","43.93048","-101.951"
"1134","81.91622","-105.4175"
"1168","96.14859","-88.98781"
"1201","78.80001","-62.00562"
"1235","36.70162","-37.16091"
"1268","-16.39897","-17.53397"
"1301","-65.58577","6.490932"
"1335","-99.20792","41.61651"
"1368","-110.7749","77.46328"
"1401","-99.25563","94.23122"
"1435","-72.55128","80.59127"
"1468","-46.35258","41.00595"
"1502","-29.06319","-10.31677"
"1535","-10.47287","-59.15747"
"1568","22.90646","-95.2961"
"1602","64.80309","-110.8586"
"1635","93.33956","-102.3092"
"1668","92.13082","-76.97004"
"1702","59.83834","-50.30476"
"1735","9.034926","-30.71361"
"1768","-41.88643","-12.08372"
"1802","-84.8713","12.12136"
