Time (ms),Ankle 1,Ankle 2
0.0,-86.02,92.7
33.0,-54.21,46.06
67.0,-34.43,-6.07
100.0,-17.17,-57.55
133.0,15.47,-95.19
167.0,60.18,-108.72
200.0,93.16,-97.05
234.0,96.31,-69.84
267.0,68.99,-40.69
300.0,20.51,-16.56
334.0,-36.55,6.39
367.0,-86.73,35.88
400.0,-114.03,70.21
434.0,-110.92,94.26
467.0,-84.94,92.23
500.0,-53.97,60.85
534.0,-31.87,10.1
567.0,-13.82,-43.47
601.0,17.0,-84.46
634.0,61.49,-103.14
667.0,96.77,-97.2
701.0,100.31,-73.87
734.0,70.03,-46.21
767.0,19.86,-22.52
801.0,-34.38,-0.68
834.0,-80.58,27.27
868.0,-107.91,62.59
901.0,-107.88,91.36
934.0,-83.46,94.69
968.0,-52.83,66.22
1001.0,-32.87,16.57
1034.0,-19.72,-36.01
1068.0,4.23,-77.69
1101.0,43.93,-101.95
1134.0,81.92,-105.42
1168.0,96.15,-88.99
1201.0,78.8,-62.01
1235.0,36.7,-37.16
1268.0,-16.4,-17.53
1301.0,-65.59,6.49
1335.0,-99.21,41.62
1368.0,-110.77,77.46
1401.0,-99.26,94.23
1435.0,-72.55,80.59
1468.0,-46.35,41.01
1502.0,-29.06,-10.32
1535.0,-10.47,-59.16
1568.0,22.91,-95.3
1602.0,64.8,-110.86
1635.0,93.34,-102.31
1668.0,92.13,-76.97
1702.0,59.84,-50.3
1735.0,9.03,-30.71
1768.0,-41.89,-12.08
1802.0,-84.87,12.12
