Time (ms),Ankle 1,Ankle 2
17117.0,32.19,87.7
17150.0,30.95,92.18
17184.0,35.72,92.2
17217.0,45.93,84.73
17251.0,56.78,69.25
17284.0,66.04,49.87
17317.0,75.5,34.8
17351.0,85.98,30.76
17384.0,94.24,38.27
17417.0,95.39,51.93
17451.0,86.56,64.73
17484.0,68.72,73.44
17518.0,47.12,79.77
17551.0,30.11,86.21
17584.0,24.76,92.16
17618.0,31.78,93.89
17651.0,45.04,87.33
17684.0,57.58,71.77
17718.0,67.97,52.22
17751.0,78.93,37.48
17784.0,90.72,33.75
17818.0,98.74,40.4
17851.0,97.53,52.12
17885.0,84.94,63.78
17918.0,64.35,73.55
17951.0,44.03,82.27
17985.0,31.97,90.21
18018.0,31.05,95.47
18051.0,39.33,96.43
18085.0,52.01,93.44
18118.0,64.19,85.82
18151.0,74.63,71.16
18185.0,85.14,52.23
18218.0,95.4,39.86
18252.0,101.42,42.48
18285.0,98.99,56.38
18318.0,86.34,71.19
18352.0,65.61,81.33
18385.0,44.07,88.24
18418.0,30.79,94.32
18452.0,30.62,98.8
18485.0,41.73,98.91
18518.0,57.4,91.35
18552.0,70.89,74.46
18585.0,80.65,52.91
18619.0,89.29,37.16
18652.0,97.58,34.85
18685.0,102.26,44.65
18719.0,99.16,59.27
18752.0,86.54,72.25
18785.0,66.99,82.02
18819.0,47.53,90.7
18852.0,35.38,98.97
18886.0,34.06,104.11
18919.0,43.03,103.36
18952.0,57.67,94.47
18986.0,71.58,76.17
19019.0,82.15,53.11
19052.0,91.22,35.55
19086.0,99.56,31.44
19119.0,104.16,40.94
19152.0,100.66,57.17
19186.0,86.62,71.68
19219.0,64.06,81.03
19253.0,40.85,87.77
19286.0,27.42,94.64
19319.0,29.56,100.34
19353.0,44.38,101.08
19386.0,62.81,92.92
19419.0,76.72,74.8
19453.0,85.17,52.52
19486.0,93.09,36.75
19520.0,102.9,34.76
19553.0,109.68,45.49
19586.0,105.75,61.58
19620.0,88.29,75.19
19653.0,63.27,84.04
19686.0,41.74,91.49
19720.0,31.3,99.89
19753.0,32.87,106.2
19786.0,44.21,105.25
19820.0,60.76,94.79
19853.0,75.62,77.58
