Time (ms),Ankle 1,Ankle 2
17117.0,42.93,116.96
17150.0,41.28,122.93
17184.0,47.64,122.96
17217.0,61.25,113.0
17251.0,75.72,92.35
17284.0,88.07,66.51
17317.0,100.69,46.41
17351.0,114.66,41.02
17384.0,125.68,51.04
17417.0,127.21,69.25
17451.0,115.44,86.33
17484.0,91.65,97.94
17518.0,62.84,106.38
17551.0,40.16,114.97
17584.0,33.02,122.91
17618.0,42.38,125.21
17651.0,60.07,116.47
17684.0,76.79,95.71
17718.0,90.65,69.64
17751.0,105.26,49.98
17784.0,120.99,45.01
17818.0,131.68,53.88
17851.0,130.07,69.51
17885.0,113.28,85.06
17918.0,85.82,98.09
17951.0,58.72,109.72
17985.0,42.64,120.31
18018.0,41.41,127.32
18051.0,52.45,128.6
18085.0,69.36,124.61
18118.0,85.61,114.45
18151.0,99.53,94.9
18185.0,113.54,69.66
18218.0,127.23,53.16
18252.0,135.26,56.65
18285.0,132.02,75.19
18318.0,115.14,94.94
18352.0,87.5,108.46
18385.0,58.77,117.68
18418.0,41.06,125.79
18452.0,40.84,131.76
18485.0,55.65,131.91
18518.0,76.55,121.83
18552.0,94.54,99.3
18585.0,107.56,70.56
18619.0,119.08,49.56
18652.0,130.13,46.48
18685.0,136.38,59.55
18719.0,132.24,79.04
18752.0,115.41,96.35
18785.0,89.34,109.38
18819.0,63.39,120.96
18852.0,47.18,131.99
18886.0,45.42,138.84
18919.0,57.39,137.84
18952.0,76.91,125.99
18986.0,95.46,101.58
19019.0,109.56,70.83
19052.0,121.65,47.41
19086.0,132.78,41.93
19119.0,138.91,54.6
19152.0,134.24,76.24
19186.0,115.52,95.59
19219.0,85.43,108.06
19253.0,54.48,117.05
19286.0,36.57,126.21
19319.0,39.42,133.82
19353.0,59.19,134.8
19386.0,83.76,123.92
19419.0,102.32,99.75
19453.0,113.58,70.04
19486.0,124.15,49.01
19520.0,137.23,46.36
19553.0,146.27,60.67
19586.0,141.03,82.12
19620.0,117.75,100.28
19653.0,84.38,112.08
19686.0,55.67,122.01
19720.0,41.74,133.22
19753.0,43.84,141.63
19786.0,58.96,140.36
19820.0,81.03,126.41
19853.0,100.85,103.46
