"Time (ms)","Ankle 5","Ankle 6"
"17117","-45.51003","49.51373"
"17150","-26.70916","17.332"
"17184","-9.268336","-16.09854"
"17217","11.1815","-46.63518"
"17251","37.0931","-66.16418"
"17284","59.33699","-69.41824"
"17317","63.5583","-58.72676"
"17351","44.59255","-41.62728"
"17384","9.911717","-23.21561"
"17417","-27.70273","-1.894251"
"17451","-57.0078","24.39403"
"17484","-70.42965","49.23703"
"17518","-65.07101","60.26751"
"17551","-45.61942","50.1488"
"17584","-23.046","21.63285"
"17618","-3.921124","-15.49582"
"17651","16.30787","-48.70066"
"17684","42.13236","-67.44462"
"17718","64.35352","-68.51768"
"17751","67.00109","-56.85645"
"17784","44.78447","-39.90298"
"17818","6.86798","-20.99464"
"17851","-32.49298","1.307472"
"17885","-60.98682","27.33203"
"17918","-70.5407","50.48736"
"17951","-61.33451","59.41309"
"17985","-42.37776","47.04958"
"18018","-22.86482","16.43104"
"18051","-3.997001","-21.81649"
"18085","18.99245","-56.3333"
"18118","46.16469","-79.94093"
"18151","66.14165","-89.1253"
"18185","64.90121","-81.82074"
"18218","39.57485","-59.48317"
"18252","0.1324717","-29.41445"
"18285","-38.38232","1.255935"
"18318","-63.01613","30.32218"
"18352","-67.27775","53.40057"
"18385","-53.88349","60.70108"
"18418","-33.15009","46.25856"
"18452","-14.25864","14.01503"
"18485","2.44904","-25.39742"
"18518","22.984","-58.78493"
"18552","48.77183","-74.50179"
"18585","68.79581","-70.06829"
"18619","67.67702","-54.53699"
"18652","41.50417","-37.79544"
"18685","1.141927","-20.50373"
"18719","-37.97075","1.846542"
"18752","-64.4521","29.2678"
"18785","-72.0553","53.51805"
"18819","-61.24335","62.05603"
"18852","-40.3265","47.38925"
"18886","-19.04577","13.22267"
"18919","-0.3593331","-28.90504"
"18952","20.73754","-65.15564"
"18986","46.98753","-83.08649"
"19019","67.83149","-78.63017"
"19052","67.10104","-60.2219"
"19086","40.45555","-39.80741"
"19119","-1.196899","-20.53286"
"19152","-42.08829","2.186854"
"19186","-69.8505","29.8452"
"19219","-76.55949","54.65552"
"19253","-62.49039","63.53022"
"19286","-39.69542","48.3187"
"19319","-20.49315","12.57378"
"19353","-3.326076","-31.24875"
"19386","20.8776","-68.35695"
"19419","51.01281","-86.6282"
"19453","71.61108","-83.02555"
"19486","67.27853","-66.44136"
"19520","37.41021","-48.10606"
"19553","-5.411091","-29.76528"
"19586","-46.4649","-5.572457"
"19620","-73.8677","25.65595"
"19653","-79.09912","53.9224"
"19686","-63.37597","64.58003"
"19720","-40.16011","49.53388"
"19753","-20.98256","13.45965"
"19786","-3.196651","-29.02974"
"19820","21.45703","-64.94691"
"19853","51.32397","-92.7105"
