Time (ms),Ankle 1,Ankle 2
17117.0,-45.51,49.51
17150.0,-26.71,17.33
17184.0,-9.27,-16.1
17217.0,11.18,-46.64
17251.0,37.09,-66.16
17284.0,59.34,-69.42
17317.0,63.56,-58.73
17351.0,44.59,-41.63
17384.0,9.91,-23.22
17417.0,-27.7,-1.89
17451.0,-57.01,24.39
17484.0,-70.43,49.24
17518.0,-65.07,60.27
17551.0,-45.62,50.15
17584.0,-23.05,21.63
17618.0,-3.92,-15.5
17651.0,16.31,-48.7
17684.0,42.13,-67.44
17718.0,64.35,-68.52
17751.0,67.0,-56.86
17784.0,44.78,-39.9
17818.0,6.87,-20.99
17851.0,-32.49,1.31
17885.0,-60.99,27.33
17918.0,-70.54,50.49
17951.0,-61.33,59.41
17985.0,-42.38,47.05
18018.0,-22.86,16.43
18051.0,-4.0,-21.82
18085.0,18.99,-56.33
18118.0,46.16,-79.94
18151.0,66.14,-89.13
18185.0,64.9,-81.82
18218.0,39.57,-59.48
18252.0,0.13,-29.41
18285.0,-38.38,1.26
18318.0,-63.02,30.32
18352.0,-67.28,53.4
18385.0,-53.88,60.7
18418.0,-33.15,46.26
18452.0,-14.26,14.02
18485.0,2.45,-25.4
18518.0,22.98,-58.78
18552.0,48.77,-74.5
18585.0,68.8,-70.07
18619.0,67.68,-54.54
18652.0,41.5,-37.8
18685.0,1.14,-20.5
18719.0,-37.97,1.85
18752.0,-64.45,29.27
18785.0,-72.06,53.52
18819.0,-61.24,62.06
18852.0,-40.33,47.39
18886.0,-19.05,13.22
18919.0,-0.36,-28.91
18952.0,20.74,-65.16
18986.0,46.99,-83.09
19019.0,67.83,-78.63
19052.0,67.1,-60.22
19086.0,40.46,-39.81
19119.0,-1.2,-20.53
19152.0,-42.09,2.19
19186.0,-69.85,29.85
19219.0,-76.56,54.66
19253.0,-62.49,63.53
19286.0,-39.7,48.32
19319.0,-20.49,12.57
19353.0,-3.33,-31.25
19386.0,20.88,-68.36
19419.0,51.01,-86.63
19453.0,71.61,-83.03
19486.0,67.28,-66.44
19520.0,37.41,-48.11
19553.0,-5.41,-29.77
19586.0,-46.46,-5.57
19620.0,-73.87,25.66
19653.0,-79.1,53.92
19686.0,-63.38,64.58
19720.0,-40.16,49.53
19753.0,-20.98,13.46
19786.0,-3.2,-29.03
19820.0,21.46,-64.95
19853.0,51.32,-92.71
