Time (ms),Ankle 1,Ankle 2
17117.0,-60.69,66.03
17150.0,-35.62,23.11
17184.0,-12.36,-21.47
17217.0,14.91,-62.2
17251.0,49.46,-88.23
17284.0,79.14,-92.58
17317.0,84.76,-78.32
17351.0,59.47,-55.52
17384.0,13.22,-30.97
17417.0,-36.94,-2.52
17451.0,-76.03,32.53
17484.0,-93.93,65.67
17518.0,-86.78,80.38
17551.0,-60.84,66.88
17584.0,-30.74,28.85
17618.0,-5.23,-20.67
17651.0,21.75,-64.95
17684.0,56.19,-89.94
17718.0,85.82,-91.38
17751.0,89.35,-75.83
17784.0,59.72,-53.21
17818.0,9.16,-27.99
17851.0,-43.33,1.75
17885.0,-81.34,36.45
17918.0,-94.07,67.33
17951.0,-81.79,79.23
17985.0,-56.52,62.75
18018.0,-30.49,21.91
18051.0,-5.33,-29.1
18085.0,25.33,-75.12
18118.0,61.56,-106.61
18151.0,88.21,-118.87
18185.0,86.55,-109.12
18218.0,52.77,-79.32
18252.0,0.17,-39.22
18285.0,-51.18,1.68
18318.0,-84.04,40.44
18352.0,-89.73,71.22
18385.0,-71.86,80.95
18418.0,-44.21,61.69
18452.0,-19.02,18.7
18485.0,3.27,-33.87
18518.0,30.65,-78.39
18552.0,65.04,-99.35
18585.0,91.75,-93.45
18619.0,90.26,-72.74
18652.0,55.35,-50.41
18685.0,1.52,-27.34
18719.0,-50.64,2.47
18752.0,-85.95,39.04
18785.0,-96.1,71.38
18819.0,-81.67,82.76
18852.0,-53.78,63.2
18886.0,-25.41,17.63
18919.0,-0.48,-38.56
18952.0,27.66,-86.9
18986.0,62.67,-110.81
19019.0,90.46,-104.86
19052.0,89.49,-80.31
19086.0,53.96,-53.09
19119.0,-1.6,-27.38
19152.0,-56.13,2.92
19186.0,-93.15,39.81
19219.0,-102.1,72.9
19253.0,-83.34,84.72
19286.0,-52.94,64.44
19319.0,-27.33,16.76
19353.0,-4.44,-41.68
19386.0,27.85,-91.17
19419.0,68.03,-115.53
19453.0,95.5,-110.73
19486.0,89.73,-88.61
19520.0,49.89,-64.16
19553.0,-7.21,-39.7
19586.0,-61.96,-7.43
19620.0,-98.51,34.22
19653.0,-105.49,71.91
19686.0,-84.52,86.13
19720.0,-53.56,66.05
19753.0,-27.98,17.95
19786.0,-4.27,-38.72
19820.0,28.62,-86.62
19853.0,68.44,-123.64
